Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Eigenvector Centrality
HWH,0.30211146575006137,0.034063517929285636,0.5124082033874587,0.13338110001741182,0.06965072943843384
BZA,0.2704394794991407,0.015177400281457015,0.5021406666088064,0.17764955364890572,0.06299049253553131
CNB,0.263810459121041,0.020930718809083173,0.5062879529276847,0.15859071585933215,0.06675238685314687
BSB,0.25767247728946724,0.01262374466808123,0.5052287059583946,0.1725598755577164,0.0707156415413232
GZB,0.25202553400441935,0.008937025077842017,0.49413854896023796,0.1631991719510309,0.06430195893442399
KYN,0.24797446599558065,0.010406132979165289,0.5036640360941574,0.17884789616012908,0.06527445789000501
ET,0.24441443653326786,0.008804910155828311,0.4998101090743702,0.18795202122943702,0.06674897920260546
LKO,0.243677878713479,0.009921289260544235,0.4887141162199042,0.1805419514201699,0.0630524060729321
ADI,0.23852197397495703,0.014301664879802244,0.5107660799308908,0.17314253952346007,0.06426582025866578
MTJ,0.2363123005155905,0.011568087316084457,0.4967567871264031,0.19294670057219643,0.06569006753410994
BRC,0.23483918487601277,0.012967968029171828,0.5063522924820026,0.17951754982281323,0.06148570117342937
BPL,0.23373434814632948,0.007039758593856606,0.49536721446396204,0.19163006809105962,0.06394992073858971
ASN,0.23189295359685735,0.008019314540982763,0.4973148014903743,0.19577501374706083,0.06411172632080277
NDLS,0.23189295359685735,0.009214458230072496,0.5051966767517281,0.19871131702051098,0.06623984864981192
MGS,0.22992879941075375,0.009509412864367987,0.5035049206471066,0.18894744156758497,0.06457015831791314
BSL,0.22538669285538915,0.008448216222665807,0.4946292830415093,0.1909541831151577,0.06251698283710153
BWN,0.22145838448318192,0.010752362156021308,0.4802610967927293,0.19224307115389003,0.05614688675585096
UMB,0.22047630739013013,0.007170062666577355,0.49349593628200134,0.2027994475756784,0.061677245053503374
JHS,0.21998526884360423,0.008304434194652599,0.4820623301120173,0.19990564446082995,0.05951987914826031
LDH,0.21826663393076357,0.008942192605718335,0.49706664041178633,0.22047214604915702,0.0659252824069348
DLI,0.21372452737539896,0.008223500635690804,0.44556736813428893,0.14875796403958466,0.04477292309256514
ST,0.21335624846550455,0.0074273772522598,0.48710100116636657,0.18422954904077735,0.05535272772498575
MMR,0.20979621900319176,0.007984509745328158,0.4887141162199042,0.20135954152837618,0.057742063406681546
PNBE,0.20660446845077338,0.007506463810979764,0.49444514358017977,0.21620692807132283,0.06472278031712948
TNA,0.20574515099435306,0.008849217832731572,0.4647715140022021,0.17754177434601098,0.04789864314676472
AGC,0.20464031426466978,0.006245168049436377,0.4838183704135607,0.22210573378326842,0.06103663182873405
NZM,0.20132580407561995,0.0047599928188778624,0.47456957950701273,0.21418107379164483,0.05858142198893808
ALD,0.19936164988951632,0.009394072818623325,0.49949682707043735,0.20297568895008322,0.05784868239928892
PUNE,0.1975202553400442,0.010145942848417045,0.47361062516829655,0.19324264075893324,0.04510335436915068
BINA,0.19739749570341272,0.00578712918301108,0.4753622273372559,0.21204631735852866,0.05343772122877063
MB,0.19739749570341272,0.0068491389668564094,0.44936124839752783,0.19830588476414207,0.052332763142780896
TPTY,0.19666093788362388,0.006476867356877275,0.4549279202535684,0.1857775938893421,0.03643978278646908
OGL,0.19518782224404616,0.003904730839572091,0.4858833229121247,0.2307406760415757,0.0518914861768274
KUR,0.19518782224404616,0.008573400452232139,0.4916084132684613,0.19515692026217699,0.050504930304635536
BE,0.19371470660446846,0.0045929968856216535,0.45081022679650157,0.20147117273783408,0.04918416359529459
GWL,0.1919960716916278,0.004811223041960116,0.47476749354076603,0.22695002864370029,0.0545663851059575
JP,0.191013994598576,0.008896562972436968,0.49750108497201634,0.19471470186550177,0.050116817214099725
RU,0.19027743677878714,0.005546924032524313,0.46692285574979536,0.21178117745760475,0.04047820230160665
BDC,0.1895408789589983,0.004045200640451742,0.4413231643729168,0.20666859236664878,0.04580622190253995
DGR,0.18929535968573533,0.0030873304941537207,0.4871307768862252,0.2410664604176711,0.05733147110713616
GKP,0.18782224404615763,0.008542372910795747,0.4850847564573751,0.2172801767540316,0.05342790066517661
KOTA,0.1874539651362632,0.00762629116916008,0.4943224600881929,0.207860069866905,0.049024173511097606
NLR,0.1874539651362632,0.0033210702368109473,0.4799718351551983,0.2371645236535095,0.048867755493367866
NGP,0.1863491284065799,0.0050186396654293905,0.48538021556107674,0.23285902870661224,0.055837913434186516
GDR,0.185858089860054,0.0031603441855985763,0.4796251808054022,0.24129958744646002,0.0481266298566194
WL,0.18561257058679106,0.003750117410733431,0.47125797629105604,0.25452468717805493,0.0484810361415667
BBS,0.18426221458384484,0.006842439586528098,0.4892541981263358,0.19778586637124684,0.04805160869241203
SRE,0.1838939356739504,0.004204094930763191,0.46626718033361175,0.22101886947776073,0.05111683704824019
BSP,0.1838939356739504,0.004259159645508819,0.47689840688699925,0.22180672144834085,0.05128597918165061
NAD,0.18328013749079303,0.003935428719084377,0.4892541981263358,0.23056190382676892,0.05149342284607144
BBK,0.18315737785416156,0.004034527475892805,0.478358387603203,0.23380460440921386,0.05603750847811749
JRC,0.180947704394795,0.0035146764250402096,0.47724112942159286,0.26563814153812026,0.058912166400245734
JL,0.180947704394795,0.0036295822543943,0.48107288735778797,0.2337098725552447,0.05358857325041288
VSKP,0.18082494475816352,0.011405682145278687,0.47516381724892714,0.20480605217539388,0.04518341912281511
BJU,0.1794745887552173,0.0037335561043251335,0.4918207973265295,0.2444994884446745,0.055424186314303944
RJY,0.17861527129879695,0.0036155656390350547,0.4693981492066771,0.23534204735164668,0.044316001899785934
R,0.17726491529585073,0.0056299999826217185,0.4767272301436802,0.22068979134240496,0.05005506635438667
SPJ,0.1770193960225878,0.006515385089815409,0.48473067999280767,0.22910479402507067,0.05079726836330792
KPD,0.17616007856616744,0.0067517995208784915,0.4826170287719088,0.22180319507387913,0.04942297570877956
SA,0.1754235207463786,0.007966075193210052,0.48832479803184986,0.2274499776257751,0.049393677854563174
DR,0.17505524183648416,0.0057922614508652635,0.44905738640154164,0.1948423502828876,0.03598547664443017
JUC,0.17505524183648416,0.005694137428882747,0.46760781475658714,0.2376636062309628,0.052850793487625426
MAS,0.17480972256322122,0.0038637174355077497,0.479769559246343,0.24152755549921565,0.04837030901159806
KGP,0.17456420328995825,0.007171402421600066,0.49067005597449403,0.1912733846176767,0.04451795726702547
SC,0.17370488583353794,0.00692442400903199,0.47556080319160693,0.21357691952768607,0.04209846576238592
TEL,0.17358212619690647,0.002788579703088831,0.45975724797102396,0.25964789623727524,0.041817602330768616
ED,0.173459366560275,0.007037947497310993,0.48733930889687854,0.2332896421784953,0.04954236676792655
PNC,0.1718634912840658,0.0030639898203814416,0.48609078803719397,0.2594759461087907,0.05857809795585453
ANND,0.17063589491775105,0.007437190910412846,0.4724873935184251,0.20829062245943938,0.044983026990101795
KTE,0.17026761600785661,0.008472125475027929,0.4795963155441597,0.2104863650316677,0.04860797620521355
SWM,0.17014485637122514,0.0038355168369645708,0.491487133284924,0.23462744089367343,0.04816340961189889
RTM,0.1697765774613307,0.006134902412644985,0.4859722148482594,0.21763231932015925,0.04727108881110405
KIUL,0.16965381782469924,0.0024265296659466925,0.47607218944272406,0.2717427312145263,0.055470010557842606
JBP,0.16867174073164742,0.0071392656036032955,0.47804273419806587,0.21660326968808685,0.04900799421797247
TCR,0.16854898109501595,0.003912886658895614,0.4885942599069134,0.25334660289039085,0.0501518450044411
RK,0.16805794254849005,0.003201285238118671,0.47420246230775115,0.23962506618307472,0.0525155447476637
TDL,0.16621654799901792,0.005579483371217841,0.4471675202896447,0.2202147453036107,0.04513658595782656
GTL,0.1658482690891235,0.005965816196025564,0.4568840946612635,0.20608734985505522,0.03481040249453777
JU,0.16560274981586054,0.00939784099834896,0.47933668445604555,0.18282382290120153,0.03615322225031835
TATA,0.16511171126933463,0.008631189644547914,0.4739204507333784,0.2129432720593543,0.044850124476807154
PGW,0.16351583599312547,0.00239923700018456,0.45906863178073376,0.2733672347474775,0.05326232937828859
DURG,0.163393076356494,0.00411900432479724,0.4674158237481235,0.2319214155542678,0.04591315132864201
YPR,0.16277927817333662,0.014256569821548527,0.4734699292425737,0.1905327505927386,0.03751812391114361
PGT,0.16277927817333662,0.005933038206416278,0.48092772354144586,0.23298518752113784,0.044506274458640666
CBE,0.16241099926344219,0.004613851249603853,0.482763214338266,0.24665508941760622,0.0466134596073196
CSMT,0.16216547999017922,0.00467609382797542,0.45617793686425995,0.21054718842561734,0.03763658198005283
ASR,0.16118340289712743,0.006420120192814742,0.46420296959758595,0.2599886024347437,0.0509440837345339
MKA,0.16069236435060152,0.0015866053579723183,0.4820331707646841,0.2859468503198454,0.057030286806783376
CPR,0.16056960471397005,0.0040386138104510725,0.47125797629105604,0.24380911112833412,0.04892732289182508
AWY,0.16044684507733858,0.003033389737021557,0.48582407968553054,0.2643799897441205,0.048526954815583376
KMT,0.1603240854407071,0.002182478924267814,0.463016232588563,0.28915747092858896,0.04259015419963276
MFP,0.16020132580407562,0.004387876114962091,0.48182915406504373,0.25030172042579446,0.04922716026293667
UJN,0.16020132580407562,0.0028689546702650192,0.47471092983152186,0.24618303050036452,0.045667012487569346
GMO,0.15860545052786643,0.00414242246839523,0.46055437664461407,0.22063553395300242,0.043614121919999756
BEAS,0.1568868156150258,0.0028355817545831466,0.4636627904277511,0.27286802536298743,0.05081199942289568
ON,0.1567640559783943,0.005196157874682358,0.4696471227653087,0.23148947915113624,0.04635534409163177
JSG,0.15565921924871104,0.0032032420965008453,0.4730202634939014,0.2449945258484935,0.043782975506186005
AII,0.15553645961207954,0.005602527390760657,0.47787073513323086,0.2137490001990214,0.046035713658159165
VZM,0.15504542106555363,0.0031780927284936174,0.4712022456883726,0.2414508542217273,0.042371941366541384
SBC,0.1543088632457648,0.008309998398244155,0.451986409113593,0.18020760999234373,0.03132042929484684
JTJ,0.15406334397250185,0.0033387769521047617,0.4798851245984438,0.26694995266516797,0.04822884351118708
FDB,0.1536950650626074,0.0012369062838961432,0.451116466407119,0.27328194465097916,0.04919194443682783
ND,0.15344954578934447,0.0045023796296942056,0.4789909466299067,0.2281238665798944,0.042805036909537866
RPJ,0.1528357476061871,0.0018535842298117657,0.4356772390291268,0.2644130665332147,0.04418276300907905
NED,0.15209918978639825,0.0032652288666985226,0.44822388093153487,0.23671981967595077,0.03370374595873411
PAU,0.15197643014976675,0.0033520016293833847,0.4388925692064635,0.2313709833907603,0.03234569939809943
BKP,0.1517309108765038,0.0014966739121953974,0.4724873935184251,0.2968426909538617,0.05417569515212238
TUP,0.15111711269334643,0.0028284960923344845,0.47841582392278065,0.2679686381021596,0.04554215822915922
GD,0.150748833783452,0.0034077984881840536,0.4689285853290431,0.259133323738246,0.0446319868620563
AK,0.15062607414682053,0.003242175942201248,0.46156804975857274,0.22497320500208887,0.038358554726079595
DHN,0.15050331451018906,0.00390639937889883,0.46760781475658714,0.23849640648504095,0.04527844194068954
VAPI,0.15001227596366315,0.002375143301884932,0.4480726668024604,0.2242025811887358,0.0371081844445456
GNT,0.14939847778050577,0.001974321267772302,0.4110472161284241,0.2770467489079799,0.024191201687823946
ROU,0.14915295850724283,0.004447293308670046,0.4685425904916367,0.2425737182192717,0.041417906919314004
SPN,0.14866191996071693,0.0020736107566370365,0.4374710353031268,0.25714236770157395,0.04372805418520684
HYB,0.14853916032408546,0.003334729829055265,0.4342290965061987,0.23278839053608535,0.027947327185738162
CTC,0.14792536214092805,0.005544286728079189,0.4723753633124931,0.21949658023944552,0.04040193873529521
KNW,0.14731156395777067,0.0018799383374837172,0.46837735859185126,0.27152583630747584,0.047143621825488015
ARA,0.14706604468450774,0.002140811177960108,0.4720675540004595,0.28397241089559555,0.050297674832081696
NK,0.14645224650135036,0.0013689518994207176,0.4493105761773657,0.2590454092253288,0.04420810354607626
CLX,0.14596120795482445,0.0013241922655695348,0.4539173148258007,0.2940374048351898,0.03726438050355831
BH,0.14510189049840413,0.0033840202981236245,0.465042739208786,0.22339522470091433,0.038024660163574975
BTI,0.14510189049840413,0.0037408522276880926,0.4435585204876855,0.23653210642243544,0.03779768595412324
SDAH,0.14461085195187823,0.02179540993944094,0.41869239631596483,0.16477883386974823,0.02108923111509419
HBJ,0.14301497667566904,0.0015914639787568995,0.44779570572498073,0.2665095247828006,0.038936261908714125
JAT,0.14289221703903757,0.0012135023372393148,0.47493726557493043,0.31220530153087417,0.04949614467397008
RNG,0.1427694574024061,0.0007465150726390258,0.4294090084643689,0.2970020404493447,0.042596712079792286
KZJ,0.1427694574024061,0.001991475172642232,0.4534265934043674,0.2848832197928927,0.03681835759615838
FL,0.14264669776577463,0.005647737527213544,0.4596246613843441,0.21838496925665113,0.03597621177465308
BYT,0.14191013994598575,0.0021023438869280883,0.4604213299677466,0.2672121085387704,0.04332582300195902
VG,0.14178738030935428,0.005508731861317601,0.48153800103219274,0.24857286238294307,0.0412487030298319
GAYA,0.14141910139945985,0.003901096747776835,0.46857014047637785,0.24196135877501804,0.04286082070543844
BXR,0.1411735821261969,0.0012958234098431611,0.471118674494931,0.30454349220633525,0.049964647639500204
PURI,0.1401915050331451,0.0039662901092331355,0.45573443778347006,0.23241770778091586,0.0358294353412219
LTT,0.13994598575988215,0.0017657789390192735,0.46226419044502337,0.24251230673552043,0.0440680255701028
PNU,0.13982322612325068,0.005146866686674671,0.47203959122626216,0.213698298986086,0.03921700014813815
LRJ,0.1397004664866192,0.001409656216018921,0.4301739475887588,0.2651049428713363,0.04269970017190134
G,0.13957770684998771,0.007270197308376355,0.465422986746978,0.2539409387956964,0.04011972179807808
PHR,0.13933218757672478,0.0014016402348058378,0.4473432344830896,0.30998038227256625,0.04860711649834419
SKZR,0.13896390866683034,0.0019591533214106415,0.4609539784290697,0.28567159168279926,0.04459809352354216
NJP,0.13884114903019887,0.008111280604114028,0.48241251765129595,0.22821723508127767,0.03735663957087082
FD,0.13847287012030446,0.002244464316929245,0.47089596283648044,0.2750197914510412,0.04486230584395751
KIR,0.13785907193714705,0.009197419472512834,0.4691218213387742,0.23265223483948724,0.03849003876732972
LJN,0.13736803339062117,0.004487309514608568,0.4612207650817084,0.2292624378808436,0.038433642757389294
QLN,0.13724527375398968,0.0027110249859252948,0.4724593809854602,0.2769451276697397,0.039847587665445695
RDM,0.1371225141173582,0.0019399750065785752,0.4625056517168751,0.29388352940607765,0.044470810769713105
HW,0.1371225141173582,0.0025671970176917277,0.4518582659946563,0.24552992272547802,0.04012587570801253
HRI,0.1367542352074638,0.0008628834323292838,0.42526134687452677,0.27966602833914955,0.0416991558715404
ROK,0.1367542352074638,0.003563458393429315,0.46263990589734444,0.2711789303483796,0.04279833185602491
BL,0.1366314755708323,0.0015361840824582946,0.4531429761788785,0.24834595643973212,0.03669032479050982
UDL,0.13650871593420083,0.0014372553566244805,0.448375197157585,0.29451274138556166,0.04165498323354004
RKM,0.1362631966609379,0.0010628271105547161,0.4586722907264739,0.314299399125942,0.04555867887184621
HJP,0.1362631966609379,0.0019157376487691571,0.4657221891813312,0.27628553383782584,0.04244931305036878
UBC,0.13614043702430642,0.0015209191595679289,0.43227406450131584,0.29695541851142165,0.04148263357585893
PNP,0.13614043702430642,0.003357991476693948,0.4523455968145404,0.26046945808620137,0.037629763310260154
SBB,0.13614043702430642,0.0014723126399837818,0.42800216870303226,0.2279350459543497,0.036135734308348086
JSME,0.13577215811441198,0.0035446381356937814,0.4665947876972749,0.2981250986271106,0.04707543562217909
DD,0.13503560029462314,0.002828099874211533,0.4557083764557533,0.251676446979404,0.03560939764826772
STA,0.13491284065799167,0.002481822792189032,0.46719659841014,0.26181124976066994,0.04371634023375685
LAR,0.13479008102136017,0.0013115840646784197,0.44855186193187874,0.31063342906988767,0.042344476108385175
INDB,0.13442180211146576,0.003151706673593335,0.4619158578183259,0.25161630611789687,0.04052527921213417
KCG,0.13442180211146576,0.0032857906565749687,0.43368557165070787,0.21648795588856765,0.026727612034219028
MTD,0.13442180211146576,0.0036288195427642824,0.47389226802341566,0.23538354209395654,0.0338273995162307
MJ,0.13429904247483426,0.004169941867756404,0.47097945502847266,0.2259212902683859,0.03912404232323759
MDP,0.13331696538178248,0.0027713177987943485,0.4663217496097933,0.3055983713332833,0.04683213626095582
ERN,0.13331696538178248,0.002150143049730218,0.47341367427563463,0.28053299094232553,0.03833158833459984
IGP,0.1327031671986251,0.0010602587958375147,0.4430160317479296,0.2735167832589036,0.039783465859831835
BARH,0.1322121286520992,0.0006609040441301401,0.4439786271704138,0.32694104614616504,0.048193682323397664
MZP,0.13184384974220476,0.0017092065700050586,0.4656133437967723,0.28974678181180985,0.0431450688831865
DNR,0.13147557083231035,0.0010106989543460499,0.46183554790389786,0.32531085848136954,0.047485596015199166
BPQ,0.13135281119567888,0.0038350387004290644,0.4602351937096019,0.29284991550522954,0.04224647661868975
JHL,0.1311072919224159,0.0020133674748110167,0.46143441685476305,0.28169507004756816,0.04133636714267362
BST,0.13086177264915297,0.0012714344531801482,0.4720675540004595,0.31250608358626303,0.04498851720358027
BPP,0.13061625337589,0.0007929430742845131,0.43894091870458596,0.31798286517203217,0.031239133901451503
PTKC,0.13061625337589,0.0014787619153354698,0.4657221891813312,0.32759573277431847,0.04590457773119142
DEOS,0.1302479744659956,0.0010958162584533354,0.4667040924791659,0.301861174730328,0.04391375568786623
